Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
A&W,Sausage & Cheddar on English Muffin,440,243,27.0,10.0,0.0,30.0,670.0,30.0,1.0,2.0,17.0,42.0,50.0,10.0,28.0,10.0,4.0,34.0,15.0,0.0,30.0,15.0,Breakfast,15.0,15.0,12.0
A&W,Sausage & Cheddar on Sesame Seed Bun,460,261,29.0,11.0,0.0,55.0,640.0,33.0,1.0,5.0,17.0,45.0,55.0,18.0,27.0,11.0,4.0,34.0,15.0,0.0,15.0,20.0,Breakfast,16.0,16.0,13.0
A&W,Sausage & Egger on English Muffin,510,288,32.0,12.0,0.0,31.0,750.0,31.0,1.0,2.0,24.0,49.0,60.0,10.0,31.0,10.0,4.0,48.0,20.0,0.0,30.0,25.0,Breakfast,16.0,17.0,14.0
A&W,Sausage & Egger on Sesame Seed Bun,530,306,34.0,12.0,0.0,245.0,720.0,34.0,1.0,5.0,24.0,52.0,60.0,82.0,30.0,11.0,4.0,48.0,20.0,0.0,30.0,30.0,Breakfast,17.0,18.0,15.0
A&W,Barbecue Dipping Sauce,60,4.5,0.5,0.4,0.2,0.0,220.0,13.0,0.0,12.0,0.0,1.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,Condiments,3.0,3.0,2.0
A&W,Chipotle Mayonnaise,360,360,40.0,4.0,0.0,20.0,260.0,4.0,0.0,4.0,0.0,62.0,20.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Condiments,12.0,12.0,11.0
A&W,Small Gravy,50,18,2.0,1.0,0.0,5.0,840.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0,35.0,2.0,8.0,6.0,0.0,0.0,0.0,2.0,Condiments,2.0,2.0,1.0
A&W,Regular Gravy,100,36,4.0,2.0,0.0,10.0,1680.0,10.0,4.0,2.0,6.0,6.0,10.0,3.0,70.0,3.0,16.0,12.0,0.0,0.0,0.0,4.0,Condiments,3.0,3.0,2.0
A&W,Honey Mustard Dipping Sauce,100,72,8.0,0.5,0.1,10.0,200.0,8.0,0.0,6.0,0.0,12.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,Condiments,4.0,4.0,3.0
A&W,Jalapeno Ranch Dipping Sauce,110,99,11.0,0.8,0.2,10.0,250.0,2.0,0.0,1.0,1.0,17.0,4.0,3.0,10.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,Condiments,4.0,4.0,3.0
A&W,Sweet & Sour Dipping Sauce,60,0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Condiments,3.0,3.0,2.0
A&W,Small Apple Juice,180,0,0.0,0.0,0.0,0.0,15.0,44.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,300.0,0.0,0.0,Drinks,10.0,10.0,5.0
A&W,Large Apple Juice,300,0,0.0,0.0,0.0,0.0,25.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,500.0,0.0,0.0,Drinks,18.0,18.0,8.0
A&W,Chocolate Milk,150,22.5,2.5,1.5,0.1,15.0,170.0,26.0,0.0,25.0,8.0,4.0,8.0,5.0,7.0,9.0,0.0,16.0,10.0,0.0,25.0,4.0,Drinks,7.0,7.0,4.0
A&W,Small Chocolate Milkshake,420,99,11.0,7.0,0.3,45.0,270.0,69.0,1.0,63.0,12.0,17.0,35.0,15.0,11.0,23.0,4.0,24.0,10.0,0.0,40.0,4.0,Drinks,21.0,21.0,11.0
A&W,Large Chocolate Milkshake,700,162,18.0,11.0,0.5,75.0,450.0,115.0,2.0,105.0,20.0,28.0,55.0,25.0,19.0,38.0,8.0,40.0,15.0,0.0,70.0,6.0,Drinks,35.0,35.0,19.0
A&W,Small Coca-Cola,140,0,0.0,0.0,0.0,0.0,27.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
A&W,Large Coca-Cola,240,0,0.0,0.0,0.0,0.0,45.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
A&W,Coffee,296,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,0.0
A&W,Small Diet Coke,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Large Diet Coke,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Small Diet Root Beer,1,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Large Diet Root Beer,1,0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Hot Chocolate,160,4.5,0.5,0.5,0.0,0.0,210.0,26.0,1.0,21.0,1.0,1.0,3.0,0.0,9.0,9.0,4.0,2.0,0.0,0.0,10.0,0.0,Drinks,7.0,7.0,3.0
A&W,Small Iced Tea,110,0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,7.0,7.0,3.0
A&W,Large Iced Tea,190,0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,12.0,12.0,5.0
A&W,Small Lemonade,140,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,30.0,0.0,0.0,Drinks,8.0,8.0,4.0
A&W,Large Lemonade,340,0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,60.0,0.0,0.0,Drinks,17.0,17.0,6.0
A&W,Milk,130,45,5.0,3.0,0.1,20.0,120.0,12.0,0.0,12.0,8.0,8.0,15.0,7.0,5.0,4.0,0.0,16.0,10.0,0.0,25.0,0.0,Drinks,5.0,5.0,3.0
A&W,Small Orange Juice,160,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,180.0,2.0,0.0,Drinks,9.0,9.0,4.0
A&W,Large Orange Juice,270,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,300.0,4.0,0.0,Drinks,15.0,15.0,7.0
A&W,Small Root Beer,160,0,0.0,0.0,0.0,0.0,75.0,39.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
A&W,Large Root Beer,270,0,0.0,0.0,0.0,0.0,120.0,65.0,0.0,63.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,16.0,16.0,7.0
A&W,Diet Root Beer Float,140,63,7.0,4.5,0.3,30.0,105.0,17.0,0.0,14.0,2.0,11.0,23.0,10.0,4.0,6.0,0.0,4.0,8.0,0.0,6.0,0.0,Drinks,7.0,7.0,4.0
A&W,Regular Root Beer Float,310,63,7.0,4.5,0.3,30.0,85.0,59.0,0.0,56.0,3.0,11.0,23.0,10.0,4.0,20.0,0.0,6.0,8.0,0.0,6.0,0.0,Drinks,17.0,17.0,8.0
A&W,Small Root Beer Milkshake,420,99,11.0,7.0,0.3,45.0,300.0,70.0,1.0,82.0,12.0,17.0,35.0,15.0,13.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,23.0,23.0,11.0
A&W,Large Root Beer Milkshake,700,162,18.0,11.0,0.5,75.0,500.0,116.0,2.0,104.0,20.0,28.0,55.0,25.0,21.0,39.0,8.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
A&W,Small Sprite,140,0,0.0,0.0,0.0,0.0,65.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
A&W,Large Sprite,240,0,0.0,0.0,0.0,0.0,110.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
A&W,Small Strawberry Milkshake,410,99,11.0,7.0,0.3,45.0,250.0,68.0,1.0,62.0,12.0,17.0,35.0,15.0,10.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,21.0,21.0,11.0
A&W,Large Strawberry Milkshake,690,162,18.0,11.0,0.5,75.0,450.0,115.0,2.0,104.0,20.0,28.0,55.0,25.0,19.0,38.0,8.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
A&W,Tea,3,0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
A&W,Small Vanilla Milkshake,410,99,11.0,7.0,0.3,45.0,250.0,68.0,1.0,62.0,12.0,17.0,35.0,15.0,10.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,21.0,21.0,11.0
A&W,Large Vanilla Milkshake,690,162,18.0,11.0,0.5,75.0,420.0,114.0,1.0,104.0,20.0,28.0,55.0,25.0,18.0,38.0,4.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
A&W,Apple Turnover,280,135,15.0,3.5,0.0,0.0,190.0,38.0,1.0,14.0,3.0,23.0,18.0,0.0,8.0,13.0,4.0,6.0,0.0,35.0,0.0,8.0,Sides,11.0,11.0,8.0
A&W,Cherry Turnover,200,72,8.0,4.0,0.0,0.0,280.0,32.0,1.0,11.0,2.0,12.0,20.0,0.0,12.0,11.0,4.0,4.0,0.0,0.0,0.0,8.0,Sides,8.0,8.0,6.0
A&W,Kids Fries,250,108,12.0,1.0,0.0,35.0,360.0,35.0,3.0,0.0,3.0,18.0,5.0,12.0,15.0,12.0,12.0,6.0,0.0,0.0,2.0,4.0,Sides,8.0,8.0,7.0
A&W,Regular Fries,390,162,18.0,1.5,0.0,54.0,550.0,54.0,5.0,0.0,5.0,28.0,8.0,18.0,23.0,18.0,20.0,10.0,0.0,0.0,2.0,6.0,Sides,12.0,12.0,11.0
