Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
mcdonalds,Breakfast,Sesame Bagel with Cream Cheese,13.0,13.0,10.0
mcdonalds,Breakfast,Multigrain Bagel with Cream Cheese,14.0,14.0,10.0
mcdonalds,Breakfast,Big Breakfast,21.0,21.0,17.0
mcdonalds,Breakfast,Plain BLT Bagel,16.0,16.0,13.0
mcdonalds,Breakfast,Multigrain BLT Bagel,18.0,18.0,14.0
mcdonalds,Breakfast,Breakfast Burrito,8.0,9.0,7.0
mcdonalds,Breakfast,Chicken McMuffin,10.0,11.0,10.0
mcdonalds,Breakfast,Plain Egg LT Bagel,14.0,16.0,12.0
mcdonalds,Breakfast,Multigrain Egg LT Bagel,14.0,16.0,13.0
mcdonalds,Breakfast,Egg McMuffin,7.0,9.0,7.0
mcdonalds,Breakfast,English Muffin with Butter,5.0,5.0,4.0
mcdonalds,Breakfast,Fruit & Maple Oatmeal,12.0,12.0,7.0
mcdonalds,Breakfast,Hash Browns,5.0,5.0,4.0
mcdonalds,Breakfast,Hot Caramel Sundae,17.0,17.0,9.0
mcdonalds,Breakfast,Hotcakes with Syrup & Butter,26.0,26.0,16.0
mcdonalds,Breakfast,Feta & Tomato More-Ning McWrap,14.0,14.0,11.0
mcdonalds,Breakfast,Bacon & Hash More-Ning McWrap,19.0,19.0,15.0
mcdonalds,Breakfast,Sausage & Hash More-Ning McWrap,23.0,23.0,19.0
mcdonalds,Breakfast,Cranberry Orange Muffin,15.0,15.0,10.0
mcdonalds,Breakfast,Fruit & Fibre Muffin,15.0,15.0,10.0
mcdonalds,Breakfast,Carrot Muffin,17.0,17.0,11.0
mcdonalds,Breakfast,Banana Chocolate Chunk Muffin,18.0,18.0,12.0
mcdonalds,Breakfast,Blueberry Muffin,17.0,17.0,12.0
mcdonalds,Breakfast,Sausage 'N Egg McMuffin,12.0,14.0,11.0
mcdonalds,Breakfast,Sausage McGriddles,15.0,15.0,11.0
mcdonalds,Breakfast,Sausage McMuffin,13.0,13.0,10.0
mcdonalds,Breakfast,"Sausage, Egg & Cheese McGriddles",17.0,19.0,14.0
mcdonalds,Burgers,Bacon & Cheddar Angus,25.0,25.0,20.0
mcdonalds,Burgers,Single Bacon 'n Crispy Onion Quarter Pounder,23.0,23.0,18.0
mcdonalds,Burgers,Double Bacon 'n Crispy Onion Quarter Pounder,30.0,30.0,24.0
mcdonalds,Burgers,Big Mac,17.0,17.0,14.0
mcdonalds,Burgers,Big Mac Bacon,21.0,21.0,17.0
mcdonalds,Burgers,Cheeseburger,10.0,10.0,8.0
mcdonalds,Burgers,Double Big Mac,22.0,22.0,18.0
mcdonalds,Burgers,Double Big Mac Bacon,26.0,26.0,22.0
mcdonalds,Burgers,Double Cheeseburger,14.0,14.0,11.0
mcdonalds,Burgers,Double Quarter Pounder without Cheese,21.0,21.0,17.0
mcdonalds,Burgers,Double Quarter Pounder with Cheese,24.0,24.0,20.0
mcdonalds,Burgers,Double Quarter Pounder BLT,30.0,30.0,24.0
mcdonalds,Burgers,Double Western BBQ Quarter Pounder,28.0,28.0,23.0
mcdonalds,Burgers,Hamburger,8.0,8.0,6.0
mcdonalds,Burgers,McDouble,12.0,12.0,10.0
mcdonalds,Burgers,Mighty Angus Original,26.0,26.0,21.0
mcdonalds,Burgers,Montreal Steak Spice BBQ Angus,23.0,23.0,19.0
mcdonalds,Burgers,Quarter Pounder without Cheese,14.0,14.0,11.0
mcdonalds,Burgers,Quarter Pounder with Cheese,17.0,17.0,14.0
mcdonalds,Burgers,Quarter Pounder BLT,20.0,20.0,16.0
mcdonalds,Burgers,Western BBQ Quarter Pounder,21.0,21.0,17.0
mcdonalds,Chicken McNuggets,4 Piece Chicken McNuggets,3.0,5.0,4.0
mcdonalds,Chicken McNuggets,6 Piece Chicken McNuggets,5.0,7.0,7.0
mcdonalds,Chicken McNuggets,10 Piece Chicken McNuggets,9.0,11.0,11.0
mcdonalds,Chicken McNuggets,20 Piece Chicken McNuggets,20.0,22.0,22.0
mcdonalds,Desserts,Baked Apple Pie,11.0,11.0,7.0
mcdonalds,Desserts,Snack Size Cadbury Creme Egg McFlurry,21.0,21.0,12.0
mcdonalds,Desserts,Regular Cadbury Creme Egg McFlurry,32.0,32.0,17.0
mcdonalds,Desserts,Small Chocolate Triple Thick Milkshake,28.0,28.0,15.0
mcdonalds,Desserts,Medium Chocolate Triple Thick Milkshake,38.0,38.0,21.0
mcdonalds,Desserts,Large Chocolate Triple Thick Milkshake,57.0,57.0,31.0
mcdonalds,Desserts,Hot Fudge Sundae,18.0,18.0,9.0
mcdonalds,Desserts,Snack Size M&M's McFlurry,21.0,21.0,11.0
mcdonalds,Desserts,Regular M&M's McFlurry,32.0,32.0,17.0
mcdonalds,Desserts,Snack Size Oreo McFlurry,17.0,17.0,9.0
mcdonalds,Desserts,Regular Oreo McFlurry,28.0,28.0,16.0
mcdonalds,Desserts,Child Size Shamrock Shake,24.0,24.0,14.0
mcdonalds,Desserts,Small Shamrock Shake,26.0,26.0,15.0
mcdonalds,Desserts,Medium Shamrock Shake,36.0,36.0,20.0
mcdonalds,Desserts,Large Shamrock Shake,55.0,55.0,31.0
mcdonalds,Desserts,Snack Size Skor McFlurry,19.0,19.0,10.0
mcdonalds,Desserts,Regular Skor McFlurry,27.0,27.0,15.0
mcdonalds,Desserts,Snack Size Squishmallows McFlurry,20.0,20.0,11.0
mcdonalds,Desserts,Regular Squishmallows McFlurry,31.0,31.0,17.0
mcdonalds,Desserts,Small Strawberry Triple Thick Milkshake,27.0,27.0,15.0
mcdonalds,Desserts,Medium Strawberry Triple Thick Milkshake,37.0,37.0,20.0
mcdonalds,Desserts,Large Strawberry Triple Thick Milkshake,57.0,57.0,31.0
mcdonalds,Desserts,Strawberry Yogurt Tube,1.0,1.0,1.0
mcdonalds,Desserts,Vanilla Ice Cream Cone,11.0,11.0,6.0
mcdonalds,Desserts,Small Vanilla Triple Thick Milkshake,26.0,26.0,15.0
mcdonalds,Desserts,Medium Vanilla Triple Thick Milkshake,35.0,35.0,20.0
mcdonalds,Desserts,Large Vanilla Triple Thick Milkshake,54.0,54.0,30.0
mcdonalds,Happy Meals,Cheeseburger Happy Meal,23.0,23.0,17.0
mcdonalds,Happy Meals,Chicken McNuggets Happy Meal,11.0,12.0,9.0
mcdonalds,Happy Meals,Grilled Chicken Snack Wrap Happy Meal,11.0,12.0,9.0
mcdonalds,Happy Meals,Crispy Chicken Snack Wrap Happy Meal,14.0,15.0,11.0
mcdonalds,Happy Meals,Hamburger Happy Meal,14.0,14.0,10.0
mcdonalds,Happy Meals,Hotcakes Happy Meal,19.0,19.0,13.0
mcdonalds,Salads,Caesar Side Salad,5.0,5.0,4.0
mcdonalds,Salads,Garden Fresh Side Salad,1.0,1.0,1.0
mcdonalds,Salads,I'm Greek-ing Out Salad with Grilled Chicken,6.0,8.0,8.0
mcdonalds,Salads,I'm Greek-ing Out Salad with Crispy Chicken,11.0,13.0,12.0
mcdonalds,Salads,"Keep Calm, Caesar On Salad with Grilled Chicken",9.0,11.0,9.0
mcdonalds,Salads,"Keep Calm, Caesar On Salad with Crispy Chicken",14.0,16.0,13.0
